Title,Platform,Developer
Dead Space,Xbox 360,Visceral Games
Dead Space 2,Xbox 360,Visceral Games
Deadly Premonition,Xbox 360,Access Games
Death Ray Manta,PC,Not Found
Deathmatch Classic,PC,Valve Corporation
Def Jam: Fight for NY,PlayStation 2,EA Canada
Defense Grid: The Awakening,Xbox 360 Games Store,"Shadows in Darkness, Inc., Hidden Path Entertainment"
Demon's Souls,PlayStation 3,"FromSoftware, Inc., Shirogumi, Inc., SIE Japan Studio"
Depression Quest,PC,Not Found
Descent: Underground,PC,Descendent Studios
Destroy All Humans!,PlayStation 2,Pandemic Studios
Detective Case and Clown Bot in The Express Killer,PC,Nerd Monkeys
Deus Ex,PC,"Ion Storm Inc., Westlake Interactive"
Deus Ex: Mankind Divided,PlayStation 4,"Eidos-Montréal, Known Shippable "
Devil Daggers,PC,Sorath
Devil May Cry,PlayStation 2,Capcom
Devil May Cry 3: Special Edition,PlayStation 2,Capcom
Dino D-Day,PC,"800 North, Digital Ranch Interactive"
Dishonored,Xbox 360,"Arkane Studios SA, Zenimax Media Inc"
Dishonored 2,PlayStation 4,Arkane Studios SA
Dishonored: Death of the Outsider,PlayStation 4,Arkane Studios SA
Divekick,PC,"Iron Galaxy Studios, One True Game Studios"
Divine Divinity,PC,Larian Studios
Divinity II: The Dragon Knight Saga,PC,Larian Studios
Divinity: Dragon Commander,PC,Larian Studios
Divinity: Original Sin,PC,Larian Studios
DJ Hero 2,Xbox 360,"Ubisoft Leamington, Fireproof Studios"
Donut County,Nintendo Switch,Ben Esposito
Doom,PlayStation 4,"id Software, Certain Affinity, Escalation Studios, Panic Button"
Dota 2,PC,Valve Corporation
Downwell,PC,Moppin
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",PC,Crows Crows Crows
Dragon Age II,Xbox 360,BioWare
Dragon Age: Inquisition,PlayStation 4,BioWare
Dragon Age: Origins,Xbox 360,"BioWare, Edge of Reality, Ltd."
Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,"Level-5 Inc., Armor Project, Shloc Ltd."
Dragon's Dogma: Dark Arisen,Xbox 360,"Capcom, 8-4, Ltd., QLOC"
Dream Daddy: A Dad Dating Simulator,PC,Game Grumps
Dropsy,PC,"A Jolly Corpse, Tendershoot"
Duelyst,PC,Counterplay Games Inc. 
Duke Nukem 3D,Xbox 360 Games Store,"3D Realms Entertainment, Eurocom Entertainment Software, Tec Toy Indústria de Brinquedos S.A., Lobotomy Software, Inc."
Duke Nukem Forever,PC,"3D Realms Entertainment, Gearbox Software LLC"
Dungeon of the Endless,PC,Amplitude Studios
Dungeons of Dredmor,PC,Gaslamp Games
Dusk,PC,David Szymanski
Dust: An Elysian Tail,PC,"Humble Hearts, Sickhead Games"
Dwarfs!?,PC,Power of Two
E.Y.E: Divine Cybermancy,PC,Streum On Studio
El Shaddai: Ascension of the Metatron,Xbox 360,"UTV Ignition Entertainment, Bee Tribe, Lancarse"
El Tango de la Muerte,PC,Hernan Smicht
Elite Beat Agents,Nintendo DS,"iNiS Corp., Nintendo SPD Group No.4"
Endless Legend,PC,Amplitude Studios
Enemy Mind,PC,Schell Games
Escape Goat 2,PC,"Magical Time Bean, Sickhead Games"
Eternal,PC,Dire Wolf Digital
Eternal Sonata,Xbox 360,"tri-Crescendo Inc., 8-4, Ltd."
Ether One,PC,White Paper Games
Europa Universalis III,PC,"Paradox Development, Paradox Development Studio"
Eversion,PC,Zaratustra Productions
Everything,PC,David O'Reilly
Evil Genius,PC,Elixir Studios
EXAPUNKS,PC,Zachtronics Industries
F.E.A.R. 2: Project Origin,PC,"Monolith Productions, Inc."
F.E.A.R. 3,PC,Wargaming West
F.E.A.R.: Extraction Point,PC,"TimeGate Studios, Inc."
F.E.A.R.: First Encounter Assault Recon,PC,"Monolith Productions, Inc., Wargaming West"
F.E.A.R.: Perseus Mandate,PC,"TimeGate Studios, Inc."
Fallout,PC,"Black Isle Studios, Interplay Entertainment Corp."
Fallout 2,PC,"Black Isle Studios, Zenimax Media Inc"
Fallout 3,Xbox 360,Bethesda Game Studios
Fallout 4,PC,Bethesda Game Studios
Fallout: New Vegas,PC,"Obsidian Entertainment, QLOC, Zenimax Media Inc"
Fallout: New Vegas,Xbox 360,"Obsidian Entertainment, QLOC, Zenimax Media Inc"
Far Cry 2,PC,Ubisoft Montreal Studios
Far Cry 2,Xbox 360,Ubisoft Montreal Studios
Far Cry 3,Xbox 360,"Ubisoft Montreal Studios, Massive Entertainment"
Far Cry 3: Blood Dragon,Xbox 360 Games Store,Ubisoft Montreal Studios
Fez,PC,"Polytron, BlitWorks"
Final Fantasy Chronicles,PlayStation,"Squaresoft, Square Visual Works"
Final Fantasy VII,PC,"Squaresoft, Square Visual Works"
Final Fantasy X,PlayStation 2,"Squaresoft, Square Enix, Virtuos Ltd., Square Visual Works"
Final Fantasy X-2,PlayStation 2,"Squaresoft, Square Visual Works"
Final Fantasy XII,PlayStation 2,"Square Enix, Basiscape, Square Visual Works"
Fire Emblem Fates,Nintendo 3DS,"Intelligent Systems Co., Ltd., Nintendo SPD Group No.2"
Fire Emblem: Awakening,Nintendo 3DS,"Intelligent Systems Co., Ltd., 8-4, Ltd., Nintendo SPD Group No.2"
Firewatch,PC,Campo Santo
Flinthook,PC,Tribute Games
Fortune-499,PC, AP Thomson
Freedom Force,PC,"Irrational Games, 2K Australia"
FTL: Faster Than Light,PC,Subset Games
Full Throttle,PC,LucasArts Entertainment Company LLC
Furi,PlayStation 4,The Game Bakers
Garfield Kart,PC,"Ravenscourt, Artefacts Studio"
Garry's Mod,PC,Facepunch Studios
Gauntlet,PC,Arrowhead Game Studios
Gears of War,Xbox 360,"Epic Games, The Coalition, Psyonix Studios"
Gears of War 2,Xbox 360,Epic Games
Gears of War: Judgment,Xbox 360,"Epic Games, People Can Fly, Darkside Game Studios"
Getting Over It with Bennett Foddy,PC,Bennett Foddy
Giana Sisters: Twisted Dreams,PC,Black Forest Games
God Hand,PlayStation Network (PS3),Clover Studio
God of War,PlayStation 4,SIE Santa Monica Studio
God of War Saga,PlayStation 3,"SIE Santa Monica Studio, Bluepoint Games, Ready at Dawn Studios, LLC"
Gods Will Be Watching,PC,Deconstructeam
Gone Home,PC,Fullbright
Gotham City Impostors,PC,"Monolith Productions, Inc."
Grand Theft Auto IV,Xbox 360,Rockstar North
Grand Theft Auto V,Xbox 360,Rockstar North
Grey Goo,PC,Petroglyph Games Inc.
Grim Fandango,PC,"LucasArts Entertainment Company LLC, Double Fine Productions, Inc., Shloc Ltd."
Guacamelee! Gold Edition,PC,DrinkBox Studios
Guardian Heroes,Xbox 360 Games Store,Treasure
Guardians of Middle-earth,PC,"Monolith Productions, Inc."
Gunpoint,PC,Suspicious Developments
Hack 'n' Slash,PC,"Double Fine Productions, Inc."
"Hack, Slash, Loot",PC,David Williamson
Half Dead 2,PC,Room710Games
Half-Life,PC,Valve Corporation
Half-Life 2,PC,Valve Corporation
Half-Life 2: Deathmatch,PC,Valve Corporation
Half-Life 2: Episode One,PC,Valve Corporation
Half-Life 2: Lost Coast,PC,Valve Corporation
Half-Life Deathmatch: Source,PC,Valve Corporation
Half-Life: Blue Shift,PC,Gearbox Software LLC
Half-Life: Counter-Strike,PC,"Turtle Rock Studios, Inc., Valve Corporation, Rockstar Vancouver"
Half-Life: Opposing Force,PC,"Gearbox Software LLC, Valve Corporation"
Halo: Reach,Xbox 360,Bungie
Hammerwatch,PC,"Crackshell, BlitWorks"
Hand of Fate,PC,Defiant Development
Heat Signature,PC,Suspicious Developments
Heavy Bullets,PC,Terri Vellmann
Her Story,PC,Sam Barlow
Hexic,Xbox 360 Games Store,Carbonated Games
High Hell,PC,Terri Vellmann
Hitman,PlayStation 4,IO Interactive
Hitman 2,PlayStation 4,IO Interactive
Hitman: Absolution,Xbox 360,"IO Interactive, Nixxes Software BV, Square Visual Works"
Hitman: Blood Money,PC,IO Interactive
Horizon Zero Dawn,PlayStation 4,Guerrilla Games
Hotline Miami,PC,"Dennaton, Abstraction Games"
HuniePop,PC,HuniePot
Hyper Light Drifter,PC,Heart Machine
Hypnospace Outlaw,PC,Tendershoot
"I Have No Mouth, and I Must Scream",PC,"Dreamer's Guild, The, MojoTouch"
ICO,PlayStation 2,Team Ico
Indigo Prophecy,PC,"Quantic Dream, Aspyr Media, Inc."
inFamous,PlayStation 3,Sucker Punch
InnerSpace,Nintendo Switch,PolyKnight Games
Insurgency,PC,New World Interactive
Into the Breach,Nintendo Switch,Subset Games
Into the Breach,PC,Subset Games
"Invisible, Inc.",PC,Klei Entertainment Inc.
Iron Brigade,Xbox 360 Games Store,"Double Fine Productions, Inc."
Jade Empire,Xbox,"BioWare, LTI Gray Matter"
Jak and Daxter Collection,PlayStation 3,"Naughty Dog, Inc., Mass Media, Inc."
Jalopy,PC,Minskworks 
Jamestown: Legend of the Lost Colony,PC,Final Form Games
Jazzpunk,PC,Necrophone Games
Jet Grind Radio,Xbox 360 Games Store,"Vicarious Visions, Smilebit, BlitWorks"
Jimmy and the Pulsating Mass,PC,Kasey Ozymy
JoJo's Bizarre Adventure: All Star Battle,PlayStation 3,"CyberConnect2 Co., Ltd."
Jotun,PC,Thunder Lotus Games 
Journey,PlayStation 3,"thatgamecompany, SIE Santa Monica Studio"
Just Cause,PC,Avalanche Studios
Just Cause 2,PC,Avalanche Studios
Just Cause 2,Xbox 360,Avalanche Studios
Kerbal Space Program,PC,Squad
Killer is Dead,PC,"Grasshopper Manufacture inc., Digital Hearts Co., Ltd. "
Killing Floor,PC,"Tripwire Interactive, LLC"
King of Dragon Pass,PC,"A Sharp, LLC, HeroCraft"
Kingdom Hearts,PlayStation 2,"Squaresoft, Disney Interactive, Square Visual Works"
Kingdom Hearts II,PlayStation 2,"Square Enix, Square Visual Works"
Kingdoms of Amalur: Reckoning,Xbox 360,"Big Huge Games, 38 Studios"
Kingsway,PC,Andrew Morrish	
Kirby: Planet Robobot,Nintendo 3DS,"HAL Laboratory, Inc."
kuso,PC,Fred Wood
L.A. Noire,Xbox 360,"Team Bondi, Rockstar Leeds, Virtuos Ltd."
La-Mulana,PC,Nigoro
Lara Croft and the Guardian of Light,Xbox 360 Games Store,"Crystal Dynamics, Inc., Nixxes Software BV"
Left 4 Dead 2,PC,Valve Corporation
Left 4 Dead 2,Xbox 360,Valve Corporation
Legend of Grimrock,PC,Almost Human
Legends of Eisenwald,PC,Aterdux Entertainment
LEGO Marvel Super Heroes,PC,"TT Games, TT Fusion, Traveller's Tales Ltd."
Limbo,PC,"Playdead, Double Eleven"
Lisa,PC,Dingaling
Lone Survivor,PC,"Superflat, Curve Digital"
Loot Rascals,PC,Hollow Ponds
Lost Odyssey,Xbox 360,"Mistwalker Corporation, Feel Plus"
Lovers in a Dangerous Spacetime,PlayStation 4,Asteroid Base
Luckslinger,PC,Duckbridge
Luftrausers,PC,Vlambeer
Lumines: Puzzle Fusion,Nintendo Switch,"Q Entertainment, Resonair"
Lumino City,PC,State of Play
MadWorld,Wii,PlatinumGames
Magic: The Gathering - Duels of the Planeswalkers 2013,PC,Stainless Games Ltd.
Magic: The Gathering - Duels of the Planeswalkers 2013,Xbox 360 Games Store,Stainless Games Ltd.
Magicka,PC,Arrowhead Game Studios
Magicka 2,PC,Pieces Interactive
Mainlining,PC,Rebelephant
Majesty 2: The Fantasy Kingdom Sim,PC,1C: Ino-Co
Maniac Mansion: Day of the Tentacle,PC,"LucasArts Entertainment Company LLC, Double Fine Productions, Inc."
March of the Eagles,PC,"Paradox Development Studio, Paradox Development"
Mark of the Ninja,PC,Klei Entertainment Inc.
Marvel Ultimate Alliance,Xbox 360,"Raven Software, Beenox Studios"
Mass Effect,Xbox 360,"BioWare, Edge of Reality, Ltd., Demiurge Studios"
Mass Effect 2,Xbox 360,"BioWare, Sonic Mayhem"
Mass Effect 3,Xbox 360,"BioWare, Straight Right, Sonic Mayhem, Psyonix Studios"
Mass Effect: Andromeda,PlayStation 4,"BioWare Montreal, BioWare, BioWare Austin"
Massive Chalice,PC,"Double Fine Productions, Inc."
Master Reboot,PC,Wales Interactive
Maximo: Ghosts to Glory,PlayStation 2,Capcom Studio 8
Medieval II: Total War,PC,"The Creative Assembly, Sega Studios Australia"
Mega Man Anniversary Collection,PlayStation 2,Atomic Planet Entertainment Limited
Mega Man X Collection,PlayStation 2,Capcom
Men of War: Assault Squad,PC,Digitalmindsoft
Mercenary Kings,PC,Tribute Games
Metal Gear Rising: Revengeance,Xbox 360,"PlatinumGames, Kojima Productions, 8-4, Ltd., TransGaming Technologies, Digital Hearts Co., Ltd. "
Metal Gear Solid,PlayStation,"Konami Computer Entertainment Japan, Inc., Digital Dialect"
Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,"Kojima Productions, 8-4, Ltd., Imagica Digitalscape Co., Ltd."
Metal Gear Solid V: Ground Zeroes,Xbox 360,Kojima Productions
Metal Gear Solid V: The Phantom Pain,PlayStation 4,"Kojima Productions, Konami Los Angeles Studio"
Metro 2033,PC,4A Games
Metro: Last Light,PC,4A Games
Metroid Prime,GameCube,"Retro Studios, Nintendo R&D1, Nintendo EAD, Nintendo SPD Group No.3"
Metroid Prime 2: Echoes,GameCube,"Retro Studios, Nintendo SPD Group No.3"
Metroid Prime 3: Corruption,Wii,"Retro Studios, Nintendo SPD Group No.3"
Miasmata,PC,IonFx Studios
Might & Magic: Clash of Heroes,Xbox 360 Games Store,"Capy, Tag Games"
Minit,PC,Not Found
Minit,PC,Not Found
Mirror's Edge,PC,DICE
Mirror's Edge,Xbox 360,DICE
Monaco: What's Yours Is Mine,PC,Pocketwatch Games
Monday Night Combat,PC,Uber Entertainment
Monster Hunter 3 Ultimate,Nintendo 3DS,"Capcom, 8-4, Ltd., Eighting Co., Ltd."
Mortal Kombat,Xbox 360,"NetherRealm Studios, Sonic Mayhem, High Voltage Software, Inc."
Mortal Kombat Arcade Kollection,PC,"Other Ocean Interactive, NetherRealm Studios, Code Mystics"
Mount & Blade: Warband,PC,Taleworlds
Murderous Pursuits,PC,Blazing Griffin
My Summer Car,PC,Amistech Games
Natural Selection II,PC,Unknown Worlds
New Super Mario Bros.,Nintendo DS,Nintendo EAD
Ni no Kuni: Wrath of the White Witch,PlayStation 3,"Level-5 Inc., Studio Ghibli, Digital Hearts Co., Ltd. , Shloc Ltd."
Nier,Xbox 360,"cavia inc., 8-4, Ltd."
NieR:Automata,PlayStation 4,"PlatinumGames, 8-4, Ltd."
Night in the Woods,Nintendo Switch,Infinite Fall
Nioh,PlayStation 4,Team Ninja
No More Heroes,Wii,"Grasshopper Manufacture inc., Feel Plus, Shirogumi, Inc."
Not a Hero,Nintendo Switch,Roll7
Not a Hero,PC,Roll7
Nuclear Throne,Nintendo Switch,Vlambeer
Nuclear Throne,PC,Vlambeer
Oddworld: Abe's Exoddus,PC,"Oddworld Inhabitants, Digital Dialect"
Oddworld: Abe's Oddysee,PC,"Oddworld Inhabitants, Digital Dialect"
Oddworld: Munch's Oddysee,PC,"Oddworld Inhabitants, ART Co., Ltd., Just Add Water Developments, Ltd., Four Door Lemon"
Oddworld: Stranger's Wrath,PC,"Oddworld Inhabitants, Just Add Water Developments, Ltd."
One Finger Death Punch,PC,Silver Dollar Games
Opus Magnum,PC,Zachtronics Industries
Orcs Must Die!,PC,Robot Entertainment
Orcs Must Die! 2,PC,Robot Entertainment
Orion: Prelude,PC,Spiral Game Studios
Outlast,PlayStation 4,Red Barrels
Overwatch,PlayStation 4,Blizzard Entertainment
Paper Sorcerer,PC,Ultra Runaway Games
"Papers, Please",PC,Lucas Pope
Paranautical Activity,PC,Code Avarice
Paratopic,PC,Arbitrary Metric
Pathologic,PC,Ice-Pick Lodge
Payday 2,PC,"Overkill Software, LionGameLion, Sumo Digital Ltd."
Payday: The Heist,PC,Overkill Software
Peggle,PC,"PopCap Games, Inc., Q Entertainment, Magmic Inc., Vega Mobile"
Persona 2: Eternal Punishment,PlayStation Network (PS3),"Atlus Co., Ltd."
Persona 4 Arena,Xbox 360,"Arc System Works Co., Ltd., Atlus Co., Ltd., Digital Hearts Co., Ltd. "
Persona 5,PlayStation 4,P Studio
Phoenix Wright: Ace Attorney,Nintendo DS,Capcom
Phoenix Wright: Ace Attorney - Justice For All,Nintendo DS,Capcom
Phoenix Wright: Ace Attorney - Trials and Tribulations,Nintendo DS,Capcom
Pillars of Eternity,PC,Obsidian Entertainment
Planescape: Torment,PC,Black Isle Studios
"Please, Don’t Touch Anything",PC,Four Quarters
Pokémon Conquest,Nintendo DS,"Koei Tecmo, The Pokémon Company"
Pokémon Diamond/Pearl,Nintendo DS,"Game Freak, Inc."
Pokémon Omega Ruby/Alpha Sapphire,Nintendo 3DS,"Game Freak, Inc."
Pokémon Platinum,Nintendo DS,"Game Freak, Inc."
Pokémon Red/Blue,Nintendo 3DS eShop,"Game Freak, Inc., Creatures, Inc."
Pokémon Ultra Sun/Ultra Moon,Nintendo 3DS,"Game Freak, Inc."
Pokémon X/Y,Nintendo 3DS,"Game Freak, Inc."
Pokémon XD: Gale of Darkness,GameCube,"Genius Sonority, Inc."
"Pokémon: Let's Go, Pikachu!/Eevee!",Nintendo Switch,"Game Freak, Inc."
Portal,PC,Valve Corporation
Portal 2,Xbox 360,Valve Corporation
Prey,PC,"Human Head Studios, Inc., Venom Games"
Prey,PlayStation 4,Arkane Studios SA
Prince of Persia,Xbox 360,Ubisoft Montreal Studios
Prison Architect,PC,Introversion Software Limited
Project Zomboid,PC,The Indie Stone
Prototype,Xbox 360,"Radical Entertainment Inc., Sonic Mayhem"
Psychonauts,PC,"Double Fine Productions, Inc., Budcat Creations"
Puyo Puyo Tetris,Nintendo Switch,"Sonic Team, The Tetris Company, Bitbaboon, O-TWO"
Pyre,PC,Supergiant Games
Quantum Conundrum,PC,Airtight Games
Quarantine Circular,PC,Mike Bithell Games
Race the Sun,PC,Flippfly
Ratchet & Clank Collection,PlayStation 3,"Idol Minds L.L.C., Insomniac Games, Mass Media, Inc."
Receiver,PC,Wolfire
Red Faction: Guerrilla,Xbox 360,"Deep Silver Volition, Inc."
Resident Evil 4,Wii,"Capcom, QLOC, Ideaworks Game Studio"
Resident Evil 5,Xbox 360,"Capcom, AAC Stunts, QLOC, Bee Tribe"
Return of the Obra Dinn,PC,Lucas Pope
Ricochet,PC,Valve Corporation
Rise of the Triad,PC,Slipgate Studios
Risk of Rain,PC,"Hopoo Games, Code Mystics"
Risk of Rain 2,PC,Hopoo Games
Rocket League,PC,Psyonix Studios
Rocksmith,Xbox 360,"Ubisoft San Francisco, Ubisoft Shanghai Studios, 8-4, Ltd."
Rogue Galaxy,PlayStation 2,"Level-5 Inc., 8-4, Ltd."
Rome: Total War,PC,The Creative Assembly
Rome: Total War - Alexander,PC,The Creative Assembly
S.T.A.L.K.E.R.: Call of Pripyat,PC,"GSC Game World, QLOC"
S.T.A.L.K.E.R.: Clear Sky,PC,GSC Game World
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,GSC Game World
Saints Row IV,PC,"Deep Silver Volition, Inc., High Voltage Software, Inc."
Salt and Sanctuary,Nintendo Switch,"Ska Studios, LLC"
Sanctum,PC,Coffee Stain Studios
Sanctum 2,PC,Coffee Stain Studios
Savant,PC,D-pad Studio
Scanner Sombre,PC,Introversion Software Limited
Scribblenauts Unlimited,PC,5th Cell Media
Section 8: Prejudice,PC,"TimeGate Studios, Inc."
Serious Sam 3: BFE,PC,Croteam Ltd.
Serious Sam: Double D,Xbox 360 Games Store,"Mommy's Best Games, Inc."
Serious Sam: The First Encounter,Xbox 360 Games Store,Croteam Ltd.
Serpent in the Staglands,PC,Whalenought Studios
Shadow Complex,Xbox 360 Games Store,"Epic Games, Chair Entertainment"
Shadow Hearts,PlayStation 2,Sacnoth
Shadow Hearts: Covenant,PlayStation 2,"Nautilus, Procyon Studio"
Shadow Hearts: From the New World,PlayStation 2,"Nautilus, Procyon Studio"
Shadow of the Colossus,PlayStation 2,"Team Ico, Bluepoint Games"
Shadowrun: Dragonfall - Director's Cut,PC,Harebrained Schemes
Shatter,PC,Sidhe Interactive
Shin Megami Tensei IV,Nintendo 3DS,"Atlus Co., Ltd."
Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. the Soulless Army,PlayStation 2,"Atlus Co., Ltd."
Shin Megami Tensei: Nocturne,PlayStation 2,"Atlus Co., Ltd."
Shin Megami Tensei: Persona 3 FES,PlayStation Network (PS3),"Atlus Co., Ltd."
Shin Megami Tensei: Persona 4,PlayStation 2,"Atlus Co., Ltd."
Sid Meier's Civilization III,PC,"Firaxis Games, Westlake Interactive"
Sid Meier's Civilization V,PC,"Firaxis Games, Aspyr Media, Inc."
"Sir, You Are Being Hunted",PC,Big Robot
Sleeping Dogs,Xbox 360,United Front Games
Sniper Elite V2,Xbox 360,Rebellion
SOMA,PC,Frictional Games
Sonic the Hedgehog 2,Xbox 360 Games Store,"Sonic Team, Christian Whitehead"
Soulcalibur II,GameCube,Project Soul
Soulcalibur V,Xbox 360,"Project Soul, CyberConnect2 Co., Ltd., 8-4, Ltd., Bee Tribe, Imagica Digitalscape Co., Ltd., O-TWO"
Space Pirates and Zombies,PC,MinMax Games LTD
Spacebase DF-9,PC,"Double Fine Productions, Inc."
Spec Ops: The Line,PC,"YAGER Development GmbH, Darkside Game Studios, 2K China, Shadows in Darkness, Inc."
Speed Dating for Ghosts,PC,Not Found
